task_id,model,condition,is_valid,top_1_line,top_3_lines,faulty_lines,top1_hit,top3_hit,region_hit,reciprocal_rank
HE_000_has_close_elements,nvidia__nemotron-nano-9b-v2_free,A,1,6,6|5|4,6,1,1,1,1.0000
HE_000_has_close_elements,nvidia__nemotron-nano-9b-v2_free,B,1,6,5|6|7,6,1,1,1,0.5000
HE_000_has_close_elements,nvidia__nemotron-nano-9b-v2_free,C,1,6,6|7|5,6,1,1,1,1.0000
HE_000_has_close_elements,nvidia__nemotron-nano-9b-v2_free,D,1,6,6|7|5,6,1,1,1,1.0000
HE_000_has_close_elements,openai__gpt-oss-20b_free,A,1,6,6|3|4,6,1,1,1,1.0000
HE_000_has_close_elements,openai__gpt-oss-20b_free,B,1,6,6|3|4,6,1,1,1,1.0000
HE_000_has_close_elements,openai__gpt-oss-20b_free,C,1,6,6|7|5,6,1,1,1,1.0000
HE_000_has_close_elements,openai__gpt-oss-20b_free,D,1,6,6|7|5,6,1,1,1,1.0000
HE_000_has_close_elements,poolside__laguna-xs-2.1_free,A,1,6,6|5|7,6,1,1,1,1.0000
HE_000_has_close_elements,poolside__laguna-xs-2.1_free,B,1,6,4|5|6,6,1,1,1,0.3333
HE_000_has_close_elements,poolside__laguna-xs-2.1_free,C,1,6,6|5|7,6,1,1,1,1.0000
HE_000_has_close_elements,poolside__laguna-xs-2.1_free,D,1,6,6|5|7,6,1,1,1,1.0000
HE_003_below_zero,nvidia__nemotron-nano-9b-v2_free,A,1,17,17|16|15,17,1,1,1,1.0000
HE_003_below_zero,nvidia__nemotron-nano-9b-v2_free,B,1,17,16|17|18,17,1,1,1,0.5000
HE_003_below_zero,nvidia__nemotron-nano-9b-v2_free,C,1,17,17|18|16,17,1,1,1,1.0000
HE_003_below_zero,nvidia__nemotron-nano-9b-v2_free,D,1,18,18|16|17,17,0,1,0,0.3333
HE_003_below_zero,openai__gpt-oss-20b_free,A,1,17,17|18|16,17,1,1,1,1.0000
HE_003_below_zero,openai__gpt-oss-20b_free,B,1,17,17|16|18,17,1,1,1,1.0000
HE_003_below_zero,openai__gpt-oss-20b_free,C,1,18,18|16|17,17,0,1,0,0.3333
HE_003_below_zero,openai__gpt-oss-20b_free,D,1,17,17|18|16,17,1,1,1,1.0000
HE_003_below_zero,poolside__laguna-xs-2.1_free,A,1,17,17|16|18,17,1,1,1,1.0000
HE_003_below_zero,poolside__laguna-xs-2.1_free,B,1,17,16|17|18,17,1,1,1,0.5000
HE_003_below_zero,poolside__laguna-xs-2.1_free,C,1,17,17|16|18,17,1,1,1,1.0000
HE_003_below_zero,poolside__laguna-xs-2.1_free,D,1,17,17|16|18,17,1,1,1,1.0000
HE_005_intersperse,nvidia__nemotron-nano-9b-v2_free,A,1,20,20|16|17,20,1,1,1,1.0000
HE_005_intersperse,nvidia__nemotron-nano-9b-v2_free,B,1,20,16|17|20,20,1,1,1,0.3333
HE_005_intersperse,nvidia__nemotron-nano-9b-v2_free,C,1,20,20|17|18,20,1,1,1,1.0000
HE_005_intersperse,nvidia__nemotron-nano-9b-v2_free,D,1,20,20|17|18,20,1,1,1,1.0000
HE_005_intersperse,openai__gpt-oss-20b_free,A,1,20,20|16|18,20,1,1,1,1.0000
HE_005_intersperse,openai__gpt-oss-20b_free,B,1,20,20|16|18,20,1,1,1,1.0000
HE_005_intersperse,openai__gpt-oss-20b_free,C,1,20,20|17|18,20,1,1,1,1.0000
